iter	MAE
0	33.82162195
1	33.81599723
2	33.81179479
3	33.80705324
4	33.80517582
5	33.80106658
6	33.79686369
7	33.79324572
8	33.78791293
9	33.78466784
10	33.78140797
11	33.77705286
12	33.77351784
13	33.77101748
14	33.76827722
15	33.76544562
16	33.76153863
17	33.75763189
18	33.7550625
19	33.75226194
20	33.74852045
21	33.74586967
22	33.74243045
23	33.74180795
24	33.73864678
25	33.73604127
26	33.73429176
27	33.73145216
28	33.72878923
29	33.72630248
30	33.72333103
31	33.72159026
32	33.71906312
33	33.71644476
34	33.71349274
35	33.71062821
36	33.70732955
37	33.70335063
38	33.70133609
39	33.69912326
40	33.69608447
41	33.69375835
42	33.69150347
43	33.6884668
44	33.68525717
45	33.68246836
46	33.68007603
47	33.67912483
48	33.67733716
49	33.67439234
50	33.67258922
51	33.67015319
52	33.66790845
53	33.66590784
54	33.66207608
55	33.6601053
56	33.65704884
57	33.65379089
58	33.65192342
59	33.64904232
60	33.64775157
61	33.64514365
62	33.64391828
63	33.6420093
64	33.63965004
65	33.63787689
66	33.63563034
67	33.63391013
68	33.63153327
69	33.62931484
70	33.62763638
71	33.62507326
72	33.62370887
73	33.62157097
74	33.62007689
75	33.61792672
76	33.61648897
77	33.61459046
78	33.61247022
79	33.6106528
80	33.60725284
81	33.604392
82	33.60143834
83	33.59881657
84	33.59676548
85	33.59556165
86	33.59473721
87	33.59294729
88	33.59054644
89	33.58921663
90	33.58643641
91	33.58411923
92	33.58093256
93	33.57944805
94	33.57943683
95	33.57709641
96	33.57455389
97	33.57188651
98	33.57083369
99	33.56849247
100	33.56686304
101	33.56445293
102	33.56328237
103	33.56150186
104	33.55826024
105	33.55661992
